Customer,Invoice_Date,Due_Date, Amount ,Is_Paid,Invoice age, Outstanding amount ,Status,Overdue flag,Aging Bucket
Global Tech Corp,24-04-26,24-05-26," 12,935.07 ",FALSE,14," 12,935.07 ",Unpaid,Not Overdue,0-30
Global Tech Corp,18-04-26,18-05-26," 21,339.36 ",TRUE,20, -   ,Paid,Not Overdue,0-30
Global Tech Corp,25-04-26,25-05-26," 3,021.72 ",FALSE,13," 3,021.72 ",Unpaid,Not Overdue,0-30
Global Tech Corp,15-02-26,17-03-26," 15,001.44 ",TRUE,82, -   ,Paid,Not Overdue,61-90
Horizon Media,11-03-26,10-04-26," 24,544.02 ",FALSE,58," 24,544.02 ",Unpaid,Overdue,31-60
Summit Manufacturing,27-04-26,27-05-26," 16,576.63 ",FALSE,11," 16,576.63 ",Unpaid,Not Overdue,0-30
Summit Manufacturing,28-01-26,27-02-26," 8,480.87 ",TRUE,100, -   ,Paid,Not Overdue,90+
Horizon Media,30-04-26,30-05-26," 14,330.07 ",FALSE,8," 14,330.07 ",Unpaid,Not Overdue,0-30
Global Tech Corp,26-02-26,28-03-26," 15,819.78 ",TRUE,71, -   ,Paid,Not Overdue,61-90
Delta Retail,08-04-26,08-05-26," 4,094.80 ",FALSE,30," 4,094.80 ",Unpaid,Not Overdue,0-30
Horizon Media,22-02-26,24-03-26," 9,839.34 ",TRUE,75, -   ,Paid,Not Overdue,61-90
Apex Logistics,29-03-26,28-04-26," 18,033.91 ",FALSE,40," 18,033.91 ",Unpaid,Overdue,31-60
Horizon Media,18-03-26,17-04-26," 23,630.33 ",TRUE,51, -   ,Paid,Not Overdue,31-60
Summit Manufacturing,22-03-26,21-04-26," 18,154.23 ",TRUE,47, -   ,Paid,Not Overdue,31-60
Horizon Media,12-01-26,11-02-26," 18,002.16 ",TRUE,116, -   ,Paid,Not Overdue,90+
Horizon Media,10-03-26,09-04-26," 16,886.61 ",FALSE,59," 16,886.61 ",Unpaid,Overdue,31-60
Delta Retail,04-02-26,06-03-26," 11,416.36 ",TRUE,93, -   ,Paid,Not Overdue,90+
Global Tech Corp,27-02-26,29-03-26," 8,535.27 ",TRUE,70, -   ,Paid,Not Overdue,61-90
Delta Retail,21-02-26,23-03-26," 16,941.03 ",TRUE,76, -   ,Paid,Not Overdue,61-90
Summit Manufacturing,07-04-26,07-05-26," 11,885.34 ",FALSE,31," 11,885.34 ",Unpaid,Overdue,31-60
Horizon Media,07-01-26,06-02-26," 6,974.81 ",TRUE,121, -   ,Paid,Not Overdue,90+
Global Tech Corp,30-01-26,01-03-26," 2,251.55 ",TRUE,98, -   ,Paid,Not Overdue,90+
Summit Manufacturing,03-02-26,05-03-26," 2,956.34 ",TRUE,94, -   ,Paid,Not Overdue,90+
Delta Retail,10-01-26,09-02-26," 10,395.45 ",TRUE,118, -   ,Paid,Not Overdue,90+
Apex Logistics,18-04-26,18-05-26," 20,725.00 ",FALSE,20," 20,725.00 ",Unpaid,Not Overdue,0-30
Apex Logistics,11-04-26,11-05-26," 22,421.48 ",TRUE,27, -   ,Paid,Not Overdue,0-30
Horizon Media,11-01-26,10-02-26," 20,038.92 ",TRUE,117, -   ,Paid,Not Overdue,90+
Horizon Media,31-01-26,02-03-26," 24,269.19 ",TRUE,97, -   ,Paid,Not Overdue,90+
Apex Logistics,16-03-26,15-04-26," 7,367.76 ",FALSE,53," 7,367.76 ",Unpaid,Overdue,31-60
Delta Retail,09-03-26,08-04-26," 24,630.40 ",TRUE,60, -   ,Paid,Not Overdue,31-60
Horizon Media,28-01-26,27-02-26," 5,855.79 ",TRUE,100, -   ,Paid,Not Overdue,90+
Horizon Media,10-02-26,12-03-26," 22,132.44 ",TRUE,87, -   ,Paid,Not Overdue,61-90
Horizon Media,25-04-26,25-05-26," 5,975.69 ",FALSE,13," 5,975.69 ",Unpaid,Not Overdue,0-30
Delta Retail,20-03-26,19-04-26," 5,922.43 ",TRUE,49, -   ,Paid,Not Overdue,31-60
Global Tech Corp,15-03-26,14-04-26," 23,253.35 ",TRUE,54, -   ,Paid,Not Overdue,31-60
Horizon Media,10-01-26,09-02-26," 6,850.96 ",TRUE,118, -   ,Paid,Not Overdue,90+
Horizon Media,01-04-26,01-05-26," 6,878.46 ",FALSE,37," 6,878.46 ",Unpaid,Overdue,31-60
Apex Logistics,29-01-26,28-02-26," 2,249.82 ",TRUE,99, -   ,Paid,Not Overdue,90+
Horizon Media,27-04-26,27-05-26," 10,202.71 ",FALSE,11," 10,202.71 ",Unpaid,Not Overdue,0-30
